"mat_code","anio_prod","anio_cat","clasif","mat_duration","mat_type","genres","mat_name","release_date","imdb_rating","imdb_votes","boxoffice","mmr_clasificacion","country"
"146700","2013","2010s","04","46","SERIES","COMEDIA","WEDDING BAND, THE - Season 1","2013-11-01 00:00:00","","","","ATP","TBS SUR"
"138942","2003","2000s","04","114","LARGOMETRAJE","AVENTURAS - ACCIÓN - COMEDIA","SHANGHAI KNIGHTS","2013-04-01 00:00:00","6.2","75110.00","","ATP","TBS SUR"
"144747","2005","2000s","04","21","SERIES","COMEDIA","MY NAME IS EARL - Season 1","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"144747","2006","2000s","04","20","SERIES","COMEDIA","MY NAME IS EARL - Season 1","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145265","1993","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145265","1994","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145268","1996","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 8","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145268","1997","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 8","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145288","1999","1990s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 2","2014-12-01 00:00:00","","","","SAM 13","TBS SUR"
"145348","2010","2010s","04","21","SERIES","COMEDIA","ARE WE THERE YET?","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145348","2011","2010s","04","21","SERIES","COMEDIA","ARE WE THERE YET?","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145348","2011","2010s","04","21","SERIES","COMEDIA","ARE WE THERE YET?","2012-04-01 00:00:00","","","","ATP","TBS SUR"
"146702","2012","2010s","04","24","SERIES","COMEDIA","PETER CAPUSOTTO - Season 7","2016-07-01 00:00:00","","","","SAM 13","TBS SUR"
"147930","2013","2010s","04","20","SERIES","POLICIAL - COMEDIA","BROOKLYN NINE-NINE","2014-02-01 00:00:00","","","","ATP","TBS SUR"
"147930","2014","2010s","04","21","SERIES","POLICIAL - COMEDIA","BROOKLYN NINE-NINE","2014-02-01 00:00:00","","","","ATP","TBS SUR"
"148036","2013","2010s","04","23","DOCUMENTAL SERIADO","COMEDIA","PETER CAPUSOTTO TEMPORADA 8","2016-12-01 00:00:00","","","","SAM 13","TBS SUR"
"2136255","2017","2010s","04","25","SERIES","ANIMACIÓN","TARANTULA - Season 1","2018-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145262","1990","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 2","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145262","1991","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 2","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145282","2002","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145282","2003","2000s","04","20","SERIES","COMEDIA","KING OF QUEENS - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145285","2005","2000s","04","19","SERIES","COMEDIA","KING OF QUEENS - Season 8","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145285","2006","2000s","04","19","SERIES","COMEDIA","KING OF QUEENS - Season 8","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145969","2010","2010s","04","40","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 7","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"145972","2011","2010s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 10","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145972","2011","2010s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 10","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"577120","","TBC","","3","INSERTS / FILLERS","GENRE_N/A","EL MARAVILLOSO MUNDO EN QUE VIVIMOS","2013-09-01 00:00:00","","","","ATP","TBS SUR"
"143241","","TBC","","19","SERIES","FAMILIAR - COMEDIA","EL CHAVO (LIVE)","2014-05-01 00:00:00","","","","ATP","TBS SUR"
"143241","1972","Classic","04","17","SERIES","FAMILIAR - COMEDIA","EL CHAVO (LIVE)","2014-05-01 00:00:00","","","","ATP","TBS SUR"
"145259","2002","2000s","04","21","SERIES","COMEDIA","BECKER - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145259","2003","2000s","04","20","SERIES","COMEDIA","BECKER - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145279","1999","1990s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145279","2000","2000s","04","20","SERIES","COMEDIA","KING OF QUEENS - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145299","2000","2000s","04","21","SERIES","COMEDIA","BECKER - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145299","2001","2000s","04","21","SERIES","COMEDIA","BECKER - Season 3","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145674","2011","2010s","04","22","SERIES","COMEDIA","WEB THERAPY - Season 1","2012-03-01 00:00:00","","","","ATP","TBS SUR"
"145966","2009","2000s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 4","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145966","2009","2000s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 4","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"147380","2013","2010s","04","23","SERIES","ENTRETENIMIENTO - ENTREVISTAS - COMEDIA","EL MUNDO DESDE ABAJO - Season 1/2","2013-08-01 00:00:00","","","","ATP","TBS SUR"
"147380","2014","2010s","04","23","SERIES","ENTRETENIMIENTO - ENTREVISTAS - COMEDIA","EL MUNDO DESDE ABAJO - Season 1/2","2013-08-01 00:00:00","","","","ATP","TBS SUR"
"148442","2014","2010s","04","21","SERIES","COMEDIA","IMPRACTICAL JOKERS - Season 3","2014-07-01 00:00:00","","","","ATP","TBS SUR"
"145276","2003","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 8","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145276","2004","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 8","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145296","1998","1990s","04","21","SERIES","COMEDIA","BECKER - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145296","1999","1990s","04","21","SERIES","COMEDIA","BECKER - Season 1","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145339","2010","2010s","04","20","SERIES","COMEDIA","HOT IN CLEVELAND - Season 1","2011-10-01 00:00:00","","","","ATP","TBS SUR"
"148021","2013","2010s","04","21","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL","IMPRACTICAL JOKERS - 2nd Cycle Backorder","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145270","1997","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145270","1998","1990s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 2","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145273","2000","2000s","04","21","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145273","2001","2000s","04","22","SERIES","COMEDIA","EVERY LOVES RAYMOND - Season 5","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145668","2012","2010s","04","0","SERIES","COMEDIA","BENT 1","2012-06-01 00:00:00","","","","ATP","TBS SUR"
"138420","2004","2000s","04","22","EPISODE (ANIMATED)","ANIMACIÓN","STROKER AND HOOP","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"138420","2005","2000s","04","21","EPISODE (ANIMATED)","ANIMACIÓN","STROKER AND HOOP","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"138420","2005","2000s","04","21","EPISODE (ANIMATED)","ANIMACIÓN","STROKER AND HOOP","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"139233","2003","2000s","04","93","LARGOMETRAJE","AVENTURAS - FAMILIAR - COMEDIA","LIZZIE MCGUIRE MOVIE, THE","2013-01-01 00:00:00","5.3","24953.00","","ATP","TBS SUR"
"144749","2007","2000s","04","19","SERIES","COMEDIA","MY NAME IS EARL - Season 3","2012-06-01 00:00:00","","","","ATP","TBS SUR"
"144749","2008","2000s","04","19","SERIES","COMEDIA","MY NAME IS EARL - Season 3","2012-06-01 00:00:00","","","","ATP","TBS SUR"
"145267","1995","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 7","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145267","1996","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 7","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145287","1998","1990s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 1","2014-12-01 00:00:00","","","","SAM 13","TBS SUR"
"145290","2001","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 4","2015-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145290","2002","2000s","04","21","SERIES","ROMANCE - COMEDIA","SEX AND THE CITY - SEASON 4","2015-02-01 00:00:00","","","","SAM 13","TBS SUR"
"145974","2011","2010s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 12","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145974","2011","2010s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 12","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"145974","2012","2010s","04","40","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 12","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"137481","","TBC","","693","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2000","2000s","04","12","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2014-12-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2000","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2001","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2014-12-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2002","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2003","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2014-12-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2003","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2004","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2014-12-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2004","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2005","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2006","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2017-10-11 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"137481","2006","2000s","04","11","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","AQUA TEEN HUNGER FORCE","2020-03-01 00:00:00","7.7","18775.00","","SAM 13","TBS SUR"
"143538","2007","2000s","04","104","LARGOMETRAJE","DRAMA - ROMANCE - COMEDIA","NO RESERVATIONS","2016-08-01 00:00:00","6.3","55821.00","43107979.00","ATP","TBS SUR"
"145264","1992","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145264","1993","1990s","04","22","SERIES","COMEDIA","WINGS - SEASON 4","2012-10-01 00:00:00","","","","ATP","TBS SUR"
"145284","2004","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 7","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145284","2005","2000s","04","20","SERIES","COMEDIA","KING OF QUEENS - Season 7","2013-03-01 00:00:00","","","","ATP","TBS SUR"
"145493","2010","2010s","04","0","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","MAD","2016-04-01 00:00:00","","","","ATP","TBS SUR"
"145493","2011","2010s","04","0","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","MAD","2016-04-01 00:00:00","","","","ATP","TBS SUR"
"145493","2012","2010s","04","0","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","MAD","2016-04-01 00:00:00","","","","ATP","TBS SUR"
"145493","2013","2010s","04","0","EPISODE (ANIMATED)","ANIMACIÓN - COMEDIA","MAD","2013-11-01 00:00:00","","","","ATP","TBS SUR"
"145971","2010","2010s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 9","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"149406","2012","2010s","04","88","LARGOMETRAJE","AVENTURAS - ANIMACIÓN","PIRATES! BAND OF MISFITS, THE","2018-09-01 00:00:00","6.7","35149.00","31051126.00","ATP","TBS SUR"
"2119815","2006","2000s","04","42","SERIES","DRAMA","LOST - Season 3","2016-09-22 00:00:00","","","","ATP","TBS SUR"
"116894","1991","1990s","04","85","LARGOMETRAJE","COMEDIA","NAKED GUN 2 1/2","2012-09-01 00:00:00","","","86930411.00","ATP","TBS SUR"
"128736","2006","2000s","04","108","LARGOMETRAJE","AVENTURAS - FAMILIAR - ANIMACIÓN","HAPPY FEET","2018-11-13 00:00:00","6.5","119437.00","198000317.00","ATP","TBS SUR"
"129715","2000","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2001","2000s","04","12","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2002","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2002","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2003","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2004","2000s","04","10","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2005","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2017-10-11 00:00:00","","","","SAM 13","TBS SUR"
"129715","2005","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2006","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"129715","2007","2000s","04","11","SERIES","ANIMACIÓN - COMEDIA","HARVEY BIRDMAN, ATTORNEY AT LAW","2020-03-01 00:00:00","","","","SAM 13","TBS SUR"
"143243","1973","Classic","04","18","SERIES","AVENTURAS - COMEDIA","EL CHAPULIN COLORADO","2014-05-01 00:00:00","","","","ATP","TBS SUR"
"145261","1990","1990s","04","21","SERIES","COMEDIA","WINGS - SEASON 1","2011-11-01 00:00:00","","","","ATP","TBS SUR"
"145281","2001","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 4","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145281","2002","2000s","04","21","SERIES","COMEDIA","KING OF QUEENS - Season 4","2012-01-01 00:00:00","","","","ATP","TBS SUR"
"145968","2009","2000s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 6","2017-01-01 00:00:00","","","","ATP","TBS SUR"
"145968","2009","2000s","04","41","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 6","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"145968","2010","2010s","04","42","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 6","2020-01-01 00:00:00","","","","ATP","TBS SUR"
"146280","2012","2010s","04","25","SERIES","COMEDIA","WEB THERAPY - Season 2","2012-09-01 00:00:00","","","","ATP","TBS SUR"
"146592","2014","2010s","04","20","SERIES","COMEDIA","ANGER MANAGEMENT - Season 3","2017-01-30 00:00:00","","","","ATP","TBS SUR"
"146864","2012","2010s","04","40","DOCUMENTAL SERIADO","ENTRETENIMIENTO FACTUAL - COMEDIA","WORLD'S DUMBEST - Season 14","2020-01-01 00:00:00","","","","ATP","TBS SUR"
